Frame;Time;lat_f;lon_f;Alt_m;Alt_m;Alt_ft;Sat;Bat;;Tb;;Pressure;;Ti;;Hi;%;To;;Ho;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3762;074939h;50.197843N;19.799134E;7980m;7980;26183ft;12;2812;mV;3,25;C;37376;Pa;2.27;C;21,51;%;-12.73;C;6,9;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26183ft;Sat;;12;Bat;;2812;mV;Tb;;3,25;C;37376;Pa;Ti;;2.27;C;Hi;;21,51;C;To;;-12.73;C;Ho;;6,9;C;3762;074939h;50197843N;19799134E;7980m;26183ft;Sat;;12;Bat;;2812;mV;Tb;;3,25;C;37376;Pa;Ti;;2.27;C;Hi;;21,51;C;To;;-12.73;C;Ho;;6,9;C;3762;074939h;50197843N;19799134E;7980m;26183ft;Sat;;12;Bat;;2812;mV;Tb;;3,25;C;37376
3763;074940h;50.197827N;19.799200E;7987m;7987;26204ft;13;2832;mV;3,21;C;37349;Pa;2.24;C;21,44;%;-12.90;C;6,87;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26204ft;Sat;;13;Bat;;2832;mV;Tb;;3,21;C;37349;Pa;Ti;;2.24;C;Hi;;21,44;C;To;;-12.90;C;Ho;;6,87;C;3763;074940h;50197827N;19799200E;7987m;26204ft;Sat;;13;Bat;;2832;mV;Tb;;3,21;C;37349;Pa;Ti;;2.24;C;Hi;;21,44;C;To;;-12.90;C;Ho;;6,87;C;3763;074940h;50197827N;19799200E;7987m;26204ft;Sat;;13;Bat;;2832;mV;Tb;;3,21;C;37349
3764;074942h;50.197855N;19.799309E;7997m;7997;26239ft;13;2840;mV;3,14;C;37275;Pa;2.20;C;21,45;%;-13.7;C;6,82;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26239ft;Sat;;13;Bat;;2840;mV;Tb;;3,14;C;37275;Pa;Ti;;2.20;C;Hi;;21,45;C;To;;-13.7;C;Ho;;6,82;C;3764;074942h;50197855N;19799309E;7997m;26239ft;Sat;;13;Bat;;2840;mV;Tb;;3,14;C;37275;Pa;Ti;;2.20;C;Hi;;21,45;C;To;;-13.7;C;Ho;;6,82;C;3764;074942h;50197855N;19799309E;7997m;26239ft;Sat;;13;Bat;;2840;mV;Tb;;3,14;C;37275
3765;074943h;50.197878N;19.799374E;8003m;8003;26259ft;13;2837;mV;3,13;C;37255;Pa;2.15;C;21,43;%;-13.60;C;6,83;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26259ft;Sat;;13;Bat;;2837;mV;Tb;;3,13;C;37255;Pa;Ti;;2.15;C;Hi;;21,43;C;To;;-13.60;C;Ho;;6,83;C;3765;074943h;50197878N;19799374E;8003m;26259ft;Sat;;13;Bat;;2837;mV;Tb;;3,13;C;37255;Pa;Ti;;2.15;C;Hi;;21,43;C;To;;-13.60;C;Ho;;6,83;C;3765;074943h;50197878N;19799374E;8003m;26259ft;Sat;;13;Bat;;2837;mV;Tb;;3,13;C;37255
3766;074944h;50.197888N;19.799451E;8008m;8008;26276ft;13;2837;mV;3,9;C;37245;Pa;2.17;C;21,45;%;-13.12;C;6,77;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26276ft;Sat;;13;Bat;;2837;mV;Tb;;3,9;C;37245;Pa;Ti;;2.17;C;Hi;;21,45;C;To;;-13.12;C;Ho;;6,77;C;3766;074944h;50197888N;19799451E;8008m;26276ft;Sat;;13;Bat;;2837;mV;Tb;;3,9;C;37245;Pa;Ti;;2.17;C;Hi;;21,45;C;To;;-13.12;C;Ho;;6,77;C;3766;074944h;50197888N;19799451E;8008m;26276ft;Sat;;13;Bat;;2837;mV;Tb;;3,9;C;37245
3767;074945h;50.197890N;19.799543E;8013m;8013;26291ft;13;2837;mV;3,7;C;37211;Pa;2.11;C;21,46;%;-12.91;C;6,79;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26291ft;Sat;;13;Bat;;2837;mV;Tb;;3,7;C;37211;Pa;Ti;;2.11;C;Hi;;21,46;C;To;;-12.91;C;Ho;;6,79;C;3767;074945h;50197890N;19799543E;8013m;26291ft;Sat;;13;Bat;;2837;mV;Tb;;3,7;C;37211;Pa;Ti;;2.11;C;Hi;;21,46;C;To;;-12.91;C;Ho;;6,79;C;3767;074945h;50197890N;19799543E;8013m;26291ft;Sat;;13;Bat;;2837;mV;Tb;;3,7;C;37211
3768;074946h;50.197886N;19.799635E;8019m;8019;26309ft;12;2836;mV;3,4;C;37162;Pa;2.10;C;21,42;%;-13.28;C;6,77;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26309ft;Sat;;12;Bat;;2836;mV;Tb;;3,4;C;37162;Pa;Ti;;2.10;C;Hi;;21,42;C;To;;-13.28;C;Ho;;6,77;C;3768;074946h;50197886N;19799635E;8019m;26309ft;Sat;;12;Bat;;2836;mV;Tb;;3,4;C;37162;Pa;Ti;;2.10;C;Hi;;21,42;C;To;;-13.28;C;Ho;;6,77;C;3768;074946h;50197886N;19799635E;8019m;26309ft;Sat;;12;Bat;;2836;mV;Tb;;3,4;C;37162
3769;074947h;50.197884N;19.799720E;8024m;8024;26328ft;13;2834;mV;3,3;C;37133;Pa;2.5;C;21,4;%;-13.51;C;6,77;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26328ft;Sat;;13;Bat;;2834;mV;Tb;;3,3;C;37133;Pa;Ti;;2.5;C;Hi;;21,4;C;To;;-13.51;C;Ho;;6,77;C;3769;074947h;50197884N;19799720E;8024m;26328ft;Sat;;13;Bat;;2834;mV;Tb;;3,3;C;37133;Pa;Ti;;2.5;C;Hi;;21,4;C;To;;-13.51;C;Ho;;6,77;C;3769;074947h;50197884N;19799720E;8024m;26328ft;Sat;;13;Bat;;2834;mV;Tb;;3,3;C;37133
3770;074948h;50.197891N;19.799796E;8030m;8030;26345ft;13;2837;mV;3;C;37115;Pa;2.4;C;21,44;%;-13.45;C;6,74;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26345ft;Sat;;13;Bat;;2837;mV;Tb;;3;C;37115;Pa;Ti;;2.4;C;Hi;;21,44;C;To;;-13.45;C;Ho;;6,74;C;3770;074948h;50197891N;19799796E;8030m;26345ft;Sat;;13;Bat;;2837;mV;Tb;;3;C;37115;Pa;Ti;;2.4;C;Hi;;21,44;C;To;;-13.45;C;Ho;;6,74;C;3770;074948h;50197891N;19799796E;8030m;26345ft;Sat;;13;Bat;;2837;mV;Tb;;3;C;37115
3771;074949h;50.197889N;19.799880E;8035m;8035;26362ft;13;2832;mV;3;C;37095;Pa;2.1;C;21,4;%;-13.45;C;6,77;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26362ft;Sat;;13;Bat;;2832;mV;Tb;;3;C;37095;Pa;Ti;;2.1;C;Hi;;21,4;C;To;;-13.45;C;Ho;;6,77;C;3771;074949h;50197889N;19799880E;8035m;26362ft;Sat;;13;Bat;;2832;mV;Tb;;3;C;37095;Pa;Ti;;2.1;C;Hi;;21,4;C;To;;-13.45;C;Ho;;6,77;C;3771;074949h;50197889N;19799880E;8035m;26362ft;Sat;;13;Bat;;2832;mV;Tb;;3;C;37095
3772;074950h;50.197872N;19.799963E;8040m;8040;26380ft;13;2835;mV;2,96;C;37050;Pa;2.0;C;21,42;%;-13.35;C;6,72;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26380ft;Sat;;13;Bat;;2835;mV;Tb;;2,96;C;37050;Pa;Ti;;2.0;C;Hi;;21,42;C;To;;-13.35;C;Ho;;6,72;C;3772;074950h;50197872N;19799963E;8040m;26380ft;Sat;;13;Bat;;2835;mV;Tb;;2,96;C;37050;Pa;Ti;;2.0;C;Hi;;21,42;C;To;;-13.35;C;Ho;;6,72;C;3772;074950h;50197872N;19799963E;8040m;26380ft;Sat;;13;Bat;;2835;mV;Tb;;2,96;C;37050
3773;074951h;50.197838N;19.800036E;8046m;8046;26400ft;13;2843;mV;2,94;C;37022;Pa;1.94;C;21,44;%;-13.50;C;6,72;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26400ft;Sat;;13;Bat;;2843;mV;Tb;;2,94;C;37022;Pa;Ti;;1.94;C;Hi;;21,44;C;To;;-13.50;C;Ho;;6,72;C;3773;074951h;50197838N;19800036E;8046m;26400ft;Sat;;13;Bat;;2843;mV;Tb;;2,94;C;37022;Pa;Ti;;1.94;C;Hi;;21,44;C;To;;-13.50;C;Ho;;6,72;C;3773;074951h;50197838N;19800036E;8046m;26400ft;Sat;;13;Bat;;2843;mV;Tb;;2,94;C;37022
3774;074952h;50.197800N;19.800080E;8052m;8052;26419ft;13;2842;mV;2,9;C;36991;Pa;1.94;C;21,39;%;-13.45;C;6,75;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26419ft;Sat;;13;Bat;;2842;mV;Tb;;2,9;C;36991;Pa;Ti;;1.94;C;Hi;;21,39;C;To;;-13.45;C;Ho;;6,75;C;3774;074952h;50197800N;19800080E;8052m;26419ft;Sat;;13;Bat;;2842;mV;Tb;;2,9;C;36991;Pa;Ti;;1.94;C;Hi;;21,39;C;To;;-13.45;C;Ho;;6,75;C;3774;074952h;50197800N;19800080E;8052m;26419ft;Sat;;13;Bat;;2842;mV;Tb;;2,9;C;36991
3775;074953h;50.197758N;19.800103E;8058m;8058;26439ft;13;2828;mV;2,89;C;36968;Pa;1.96;C;21,39;%;-13.46;C;6,71;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26439ft;Sat;;13;Bat;;2828;mV;Tb;;2,89;C;36968;Pa;Ti;;1.96;C;Hi;;21,39;C;To;;-13.46;C;Ho;;6,71;C;3775;074953h;50197758N;19800103E;8058m;26439ft;Sat;;13;Bat;;2828;mV;Tb;;2,89;C;36968;Pa;Ti;;1.96;C;Hi;;21,39;C;To;;-13.46;C;Ho;;6,71;C;3775;074953h;50197758N;19800103E;8058m;26439ft;Sat;;13;Bat;;2828;mV;Tb;;2,89;C;36968
3776;074954h;50.197720N;19.800102E;8063m;8063;26455ft;13;2817;mV;2,85;C;36933;Pa;1.92;C;21,36;%;-13.61;C;6,7;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26455ft;Sat;;13;Bat;;2817;mV;Tb;;2,85;C;36933;Pa;Ti;;1.92;C;Hi;;21,36;C;To;;-13.61;C;Ho;;6,7;C;3776;074954h;50197720N;19800102E;8063m;26455ft;Sat;;13;Bat;;2817;mV;Tb;;2,85;C;36933;Pa;Ti;;1.92;C;Hi;;21,36;C;To;;-13.61;C;Ho;;6,7;C;3776;074954h;50197720N;19800102E;8063m;26455ft;Sat;;13;Bat;;2817;mV;Tb;;2,85;C;36933
3777;074955h;50.197687N;19.800092E;8070m;8070;26478ft;13;2834;mV;2,83;C;36891;Pa;1.87;C;21,4;%;-13.89;C;6,67;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26478ft;Sat;;13;Bat;;2834;mV;Tb;;2,83;C;36891;Pa;Ti;;1.87;C;Hi;;21,4;C;To;;-13.89;C;Ho;;6,67;C;3777;074955h;50197687N;19800092E;8070m;26478ft;Sat;;13;Bat;;2834;mV;Tb;;2,83;C;36891;Pa;Ti;;1.87;C;Hi;;21,4;C;To;;-13.89;C;Ho;;6,67;C;3777;074955h;50197687N;19800092E;8070m;26478ft;Sat;;13;Bat;;2834;mV;Tb;;2,83;C;36891
3778;074956h;50.197665N;19.800092E;8078m;8078;26504ft;13;2817;mV;2,81;C;36830;Pa;1.83;C;21,39;%;-13.74;C;6,72;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26504ft;Sat;;13;Bat;;2817;mV;Tb;;2,81;C;36830;Pa;Ti;;1.83;C;Hi;;21,39;C;To;;-13.74;C;Ho;;6,72;C;3778;074956h;50197665N;19800092E;8078m;26504ft;Sat;;13;Bat;;2817;mV;Tb;;2,81;C;36830;Pa;Ti;;1.83;C;Hi;;21,39;C;To;;-13.74;C;Ho;;6,72;C;3778;074956h;50197665N;19800092E;8078m;26504ft;Sat;;13;Bat;;2817;mV;Tb;;2,81;C;36830
3779;074957h;50.197659N;19.800118E;8085m;8085;26527ft;13;2844;mV;2,79;C;36804;Pa;1.81;C;21,43;%;-13.67;C;6,73;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26527ft;Sat;;13;Bat;;2844;mV;Tb;;2,79;C;36804;Pa;Ti;;1.81;C;Hi;;21,43;C;To;;-13.67;C;Ho;;6,73;C;3779;074957h;50197659N;19800118E;8085m;26527ft;Sat;;13;Bat;;2844;mV;Tb;;2,79;C;36804;Pa;Ti;;1.81;C;Hi;;21,43;C;To;;-13.67;C;Ho;;6,73;C;3779;074957h;50197659N;19800118E;8085m;26527ft;Sat;;13;Bat;;2844;mV;Tb;;2,79;C;36804
3780;074958h;50.197678N;19.800149E;8092m;8092;26549ft;13;2847;mV;2,76;C;36797;Pa;1.81;C;21,37;%;-13.89;C;6,73;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26549ft;Sat;;13;Bat;;2847;mV;Tb;;2,76;C;36797;Pa;Ti;;1.81;C;Hi;;21,37;C;To;;-13.89;C;Ho;;6,73;C;3780;074958h;50197678N;19800149E;8092m;26549ft;Sat;;13;Bat;;2847;mV;Tb;;2,76;C;36797;Pa;Ti;;1.81;C;Hi;;21,37;C;To;;-13.89;C;Ho;;6,73;C;3780;074958h;50197678N;19800149E;8092m;26549ft;Sat;;13;Bat;;2847;mV;Tb;;2,76;C;36797
3781;074959h;50.197715N;19.800188E;8098m;8098;26568ft;13;2828;mV;2,74;C;36760;Pa;1.79;C;21,37;%;-14.47;C;6,68;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26568ft;Sat;;13;Bat;;2828;mV;Tb;;2,74;C;36760;Pa;Ti;;1.79;C;Hi;;21,37;C;To;;-14.47;C;Ho;;6,68;C;3781;074959h;50197715N;19800188E;8098m;26568ft;Sat;;13;Bat;;2828;mV;Tb;;2,74;C;36760;Pa;Ti;;1.79;C;Hi;;21,37;C;To;;-14.47;C;Ho;;6,68;C;3781;074959h;50197715N;19800188E;8098m;26568ft;Sat;;13;Bat;;2828;mV;Tb;;2,74;C;36760
3782;075000h;50.197757N;19.800227E;8104m;8104;26588ft;13;2828;mV;2,7;C;36737;Pa;1.74;C;21,34;%;-14.8;C;6,73;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26588ft;Sat;;13;Bat;;2828;mV;Tb;;2,7;C;36737;Pa;Ti;;1.74;C;Hi;;21,34;C;To;;-14.8;C;Ho;;6,73;C;3782;075000h;50197757N;19800227E;8104m;26588ft;Sat;;13;Bat;;2828;mV;Tb;;2,7;C;36737;Pa;Ti;;1.74;C;Hi;;21,34;C;To;;-14.8;C;Ho;;6,73;C;3782;075000h;50197757N;19800227E;8104m;26588ft;Sat;;13;Bat;;2828;mV;Tb;;2,7;C;36737
3783;075001h;50.197793N;19.800255E;8110m;8110;26608ft;13;2829;mV;2,68;C;36716;Pa;1.72;C;21,38;%;-14.12;C;6,66;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26608ft;Sat;;13;Bat;;2829;mV;Tb;;2,68;C;36716;Pa;Ti;;1.72;C;Hi;;21,38;C;To;;-14.12;C;Ho;;6,66;C;3783;075001h;50197793N;19800255E;8110m;26608ft;Sat;;13;Bat;;2829;mV;Tb;;2,68;C;36716;Pa;Ti;;1.72;C;Hi;;21,38;C;To;;-14.12;C;Ho;;6,66;C;3783;075001h;50197793N;19800255E;8110m;26608ft;Sat;;13;Bat;;2829;mV;Tb;;2,68;C;36716
3784;075002h;50.197810N;19.800267E;8113m;8113;26619ft;13;2826;mV;2,65;C;36685;Pa;1.69;C;21,34;%;-14.1;C;6,67;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26619ft;Sat;;13;Bat;;2826;mV;Tb;;2,65;C;36685;Pa;Ti;;1.69;C;Hi;;21,34;C;To;;-14.1;C;Ho;;6,67;C;3784;075002h;50197810N;19800267E;8113m;26619ft;Sat;;13;Bat;;2826;mV;Tb;;2,65;C;36685;Pa;Ti;;1.69;C;Hi;;21,34;C;To;;-14.1;C;Ho;;6,67;C;3784;075002h;50197810N;19800267E;8113m;26619ft;Sat;;13;Bat;;2826;mV;Tb;;2,65;C;36685
3785;075003h;50.197834N;19.800281E;8118m;8118;26636ft;13;2828;mV;2,65;C;36646;Pa;1.68;C;21,29;%;-13.51;C;6,72;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26636ft;Sat;;13;Bat;;2828;mV;Tb;;2,65;C;36646;Pa;Ti;;1.68;C;Hi;;21,29;C;To;;-13.51;C;Ho;;6,72;C;3785;075003h;50197834N;19800281E;8118m;26636ft;Sat;;13;Bat;;2828;mV;Tb;;2,65;C;36646;Pa;Ti;;1.68;C;Hi;;21,29;C;To;;-13.51;C;Ho;;6,72;C;3785;075003h;50197834N;19800281E;8118m;26636ft;Sat;;13;Bat;;2828;mV;Tb;;2,65;C;36646
3786;075004h;50.197854N;19.800309E;8124m;8124;26654ft;13;2845;mV;2,61;C;36611;Pa;1.65;C;21,3;%;-13.82;C;6,76;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26654ft;Sat;;13;Bat;;2845;mV;Tb;;2,61;C;36611;Pa;Ti;;1.65;C;Hi;;21,3;C;To;;-13.82;C;Ho;;6,76;C;3786;075004h;50197854N;19800309E;8124m;26654ft;Sat;;13;Bat;;2845;mV;Tb;;2,61;C;36611;Pa;Ti;;1.65;C;Hi;;21,3;C;To;;-13.82;C;Ho;;6,76;C;3786;075004h;50197854N;19800309E;8124m;26654ft;Sat;;13;Bat;;2845;mV;Tb;;2,61;C;36611
3787;075005h;50.197871N;19.800373E;8129m;8129;26671ft;13;2829;mV;2,57;C;36592;Pa;1.62;C;21,26;%;-13.56;C;6,77;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26671ft;Sat;;13;Bat;;2829;mV;Tb;;2,57;C;36592;Pa;Ti;;1.62;C;Hi;;21,26;C;To;;-13.56;C;Ho;;6,77;C;3787;075005h;50197871N;19800373E;8129m;26671ft;Sat;;13;Bat;;2829;mV;Tb;;2,57;C;36592;Pa;Ti;;1.62;C;Hi;;21,26;C;To;;-13.56;C;Ho;;6,77;C;3787;075005h;50197871N;19800373E;8129m;26671ft;Sat;;13;Bat;;2829;mV;Tb;;2,57;C;36592
3788;075006h;50.197882N;19.800461E;8135m;8135;26689ft;13;2826;mV;2,56;C;36565;Pa;1.60;C;21,26;%;-13.86;C;6,65;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26689ft;Sat;;13;Bat;;2826;mV;Tb;;2,56;C;36565;Pa;Ti;;1.60;C;Hi;;21,26;C;To;;-13.86;C;Ho;;6,65;C;3788;075006h;50197882N;19800461E;8135m;26689ft;Sat;;13;Bat;;2826;mV;Tb;;2,56;C;36565;Pa;Ti;;1.60;C;Hi;;21,26;C;To;;-13.86;C;Ho;;6,65;C;3788;075006h;50197882N;19800461E;8135m;26689ft;Sat;;13;Bat;;2826;mV;Tb;;2,56;C;36565
3789;075007h;50.197877N;19.800559E;8141m;8141;26710ft;13;2845;mV;2,53;C;36532;Pa;1.59;C;21,23;%;-13.88;C;6,72;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26710ft;Sat;;13;Bat;;2845;mV;Tb;;2,53;C;36532;Pa;Ti;;1.59;C;Hi;;21,23;C;To;;-13.88;C;Ho;;6,72;C;3789;075007h;50197877N;19800559E;8141m;26710ft;Sat;;13;Bat;;2845;mV;Tb;;2,53;C;36532;Pa;Ti;;1.59;C;Hi;;21,23;C;To;;-13.88;C;Ho;;6,72;C;3789;075007h;50197877N;19800559E;8141m;26710ft;Sat;;13;Bat;;2845;mV;Tb;;2,53;C;36532
3790;075010h;50.197866N;19.800687E;8159m;8159;26770ft;13;2812;mV;2,47;C;36421;Pa;1.52;C;21,27;%;-13.71;C;6,72;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26770ft;Sat;;13;Bat;;2812;mV;Tb;;2,47;C;36421;Pa;Ti;;1.52;C;Hi;;21,27;C;To;;-13.71;C;Ho;;6,72;C;3790;075010h;50197866N;19800687E;8159m;26770ft;Sat;;13;Bat;;2812;mV;Tb;;2,47;C;36421;Pa;Ti;;1.52;C;Hi;;21,27;C;To;;-13.71;C;Ho;;6,72;C;3790;075010h;50197866N;19800687E;8159m;26770ft;Sat;;13;Bat;;2812;mV;Tb;;2,47;C;36421
